fips,SCC,Pollutant,Emissions,type,year
24510,220100133T,PM25-PRI,0.58,ON-ROAD,1999
24510,220100133X,PM25-PRI,2.89,ON-ROAD,1999
24510,220102023B,PM25-PRI,2.77,ON-ROAD,1999
24510,220102023T,PM25-PRI,1.05,ON-ROAD,1999
24510,220102023X,PM25-PRI,5.96,ON-ROAD,1999
24510,220102025B,PM25-PRI,1.32,ON-ROAD,1999
24510,220102025T,PM25-PRI,0.5,ON-ROAD,1999
24510,220102025X,PM25-PRI,2.83,ON-ROAD,1999
24510,220102027B,PM25-PRI,1.67,ON-ROAD,1999
24510,220102027T,PM25-PRI,0.63,ON-ROAD,1999
24510,220102027X,PM25-PRI,3.77,ON-ROAD,1999
24510,220102029B,PM25-PRI,1.38,ON-ROAD,1999
24510,220102029T,PM25-PRI,0.52,ON-ROAD,1999
24510,220102029X,PM25-PRI,3.11,ON-ROAD,1999
24510,220102031B,PM25-PRI,0.62,ON-ROAD,1999
24510,220102031T,PM25-PRI,0.23,ON-ROAD,1999
24510,220102031X,PM25-PRI,1.4,ON-ROAD,1999
24510,220102033B,PM25-PRI,0.57,ON-ROAD,1999
24510,220102033T,PM25-PRI,0.22,ON-ROAD,1999
24510,220102033X,PM25-PRI,1.3,ON-ROAD,1999
24510,220104023B,PM25-PRI,0.95,ON-ROAD,1999
24510,220104023T,PM25-PRI,0.36,ON-ROAD,1999
24510,220104023X,PM25-PRI,3.43,ON-ROAD,1999
24510,220104025B,PM25-PRI,0.45,ON-ROAD,1999
24510,220104025T,PM25-PRI,0.17,ON-ROAD,1999
24510,220104025X,PM25-PRI,1.63,ON-ROAD,1999
24510,220104027B,PM25-PRI,0.57,ON-ROAD,1999
24510,220104027T,PM25-PRI,0.22,ON-ROAD,1999
24510,220104027X,PM25-PRI,2.11,ON-ROAD,1999
24510,220104029B,PM25-PRI,0.47,ON-ROAD,1999
24510,220104029T,PM25-PRI,0.18,ON-ROAD,1999
24510,220104029X,PM25-PRI,1.74,ON-ROAD,1999
24510,220104031B,PM25-PRI,0.21,ON-ROAD,1999
24510,220104031T,PM25-PRI,0.08,ON-ROAD,1999
24510,220104031X,PM25-PRI,0.78,ON-ROAD,1999
24510,220104033B,PM25-PRI,0.2,ON-ROAD,1999
24510,220104033T,PM25-PRI,0.07,ON-ROAD,1999
24510,220104033X,PM25-PRI,0.73,ON-ROAD,1999
24510,220107023B,PM25-PRI,0.36,ON-ROAD,1999
24510,220107023T,PM25-PRI,0.15,ON-ROAD,1999
24510,220107023X,PM25-PRI,5.27,ON-ROAD,1999
24510,220107025B,PM25-PRI,0.17,ON-ROAD,1999
24510,220107025T,PM25-PRI,0.07,ON-ROAD,1999
24510,220107025X,PM25-PRI,2.5,ON-ROAD,1999
24510,220107027B,PM25-PRI,0.22,ON-ROAD,1999
24510,220107027T,PM25-PRI,0.09,ON-ROAD,1999
24510,220107027X,PM25-PRI,3.13,ON-ROAD,1999
24510,220107029B,PM25-PRI,0.18,ON-ROAD,1999
24510,220107029T,PM25-PRI,0.07,ON-ROAD,1999
24510,220107029X,PM25-PRI,2.58,ON-ROAD,1999
24510,220107031B,PM25-PRI,0.08,ON-ROAD,1999
24510,220107031T,PM25-PRI,0.03,ON-ROAD,1999
24510,220107031X,PM25-PRI,1.16,ON-ROAD,1999
24510,220107033B,PM25-PRI,0.07,ON-ROAD,1999
24510,220107033T,PM25-PRI,0.03,ON-ROAD,1999
24510,220107033X,PM25-PRI,1.08,ON-ROAD,1999
24510,220108023B,PM25-PRI,0.05,ON-ROAD,1999
24510,220108023T,PM25-PRI,0.01,ON-ROAD,1999
24510,220108023X,PM25-PRI,0.13,ON-ROAD,1999
24510,220108025B,PM25-PRI,0.02,ON-ROAD,1999
24510,220108025X,PM25-PRI,0.06,ON-ROAD,1999
24510,220108027B,PM25-PRI,0.03,ON-ROAD,1999
24510,220108027T,PM25-PRI,0.01,ON-ROAD,1999
24510,220108027X,PM25-PRI,0.08,ON-ROAD,1999
24510,220108029B,PM25-PRI,0.02,ON-ROAD,1999
24510,220108029X,PM25-PRI,0.07,ON-ROAD,1999
24510,220108031B,PM25-PRI,0.01,ON-ROAD,1999
24510,220108031X,PM25-PRI,0.03,ON-ROAD,1999
24510,220108033B,PM25-PRI,0.01,ON-ROAD,1999
24510,220108033X,PM25-PRI,0.03,ON-ROAD,1999
24510,223000123B,PM25-PRI,0.02,ON-ROAD,1999
24510,223000123T,PM25-PRI,0.01,ON-ROAD,1999
24510,223000123X,PM25-PRI,1.09,ON-ROAD,1999
24510,223000125B,PM25-PRI,0.01,ON-ROAD,1999
24510,223000125X,PM25-PRI,0.52,ON-ROAD,1999
24510,223000127B,PM25-PRI,0.01,ON-ROAD,1999
24510,223000127X,PM25-PRI,0.66,ON-ROAD,1999
24510,223000129B,PM25-PRI,0.01,ON-ROAD,1999
24510,223000129X,PM25-PRI,0.54,ON-ROAD,1999
24510,223000131X,PM25-PRI,0.24,ON-ROAD,1999
24510,223000133X,PM25-PRI,0.23,ON-ROAD,1999
24510,223006023B,PM25-PRI,0.02,ON-ROAD,1999
24510,223006023T,PM25-PRI,0.01,ON-ROAD,1999
24510,223006023X,PM25-PRI,0.92,ON-ROAD,1999
24510,223006025B,PM25-PRI,0.01,ON-ROAD,1999
24510,223006025X,PM25-PRI,0.44,ON-ROAD,1999
24510,223006027B,PM25-PRI,0.01,ON-ROAD,1999
24510,223006027X,PM25-PRI,0.55,ON-ROAD,1999
24510,223006029B,PM25-PRI,0.01,ON-ROAD,1999
24510,223006029X,PM25-PRI,0.46,ON-ROAD,1999
24510,223006031X,PM25-PRI,0.2,ON-ROAD,1999
24510,223006033X,PM25-PRI,0.19,ON-ROAD,1999
24510,223007123B,PM25-PRI,0.1,ON-ROAD,1999
24510,223007123T,PM25-PRI,0.04,ON-ROAD,1999
24510,223007123X,PM25-PRI,4.14,ON-ROAD,1999
24510,223007125B,PM25-PRI,0.05,ON-ROAD,1999
24510,223007125T,PM25-PRI,0.02,ON-ROAD,1999
24510,223007125X,PM25-PRI,1.97,ON-ROAD,1999
24510,223007127B,PM25-PRI,0.06,ON-ROAD,1999
24510,223007127T,PM25-PRI,0.02,ON-ROAD,1999
24510,223007127X,PM25-PRI,2.49,ON-ROAD,1999
24510,223007129B,PM25-PRI,0.05,ON-ROAD,1999
24510,223007129T,PM25-PRI,0.02,ON-ROAD,1999
24510,223007129X,PM25-PRI,2.05,ON-ROAD,1999
24510,223007131B,PM25-PRI,0.02,ON-ROAD,1999
24510,223007131T,PM25-PRI,0.01,ON-ROAD,1999
24510,223007131X,PM25-PRI,0.92,ON-ROAD,1999
24510,223007133B,PM25-PRI,0.02,ON-ROAD,1999
24510,223007133T,PM25-PRI,0.01,ON-ROAD,1999
24510,223007133X,PM25-PRI,0.86,ON-ROAD,1999
24510,223007223B,PM25-PRI,0.06,ON-ROAD,1999
24510,223007223T,PM25-PRI,0.03,ON-ROAD,1999
24510,223007223X,PM25-PRI,2.07,ON-ROAD,1999
24510,223007225B,PM25-PRI,0.03,ON-ROAD,1999
24510,223007225T,PM25-PRI,0.02,ON-ROAD,1999
24510,223007225X,PM25-PRI,0.98,ON-ROAD,1999
24510,223007227B,PM25-PRI,0.03,ON-ROAD,1999
24510,223007227T,PM25-PRI,0.02,ON-ROAD,1999
24510,223007227X,PM25-PRI,1.25,ON-ROAD,1999
24510,223007229B,PM25-PRI,0.03,ON-ROAD,1999
24510,223007229T,PM25-PRI,0.02,ON-ROAD,1999
24510,223007229X,PM25-PRI,1.03,ON-ROAD,1999
24510,223007231B,PM25-PRI,0.01,ON-ROAD,1999
24510,223007231T,PM25-PRI,0.01,ON-ROAD,1999
24510,223007231X,PM25-PRI,0.46,ON-ROAD,1999
24510,223007233B,PM25-PRI,0.01,ON-ROAD,1999
24510,223007233T,PM25-PRI,0.01,ON-ROAD,1999
24510,223007233X,PM25-PRI,0.43,ON-ROAD,1999
24510,223007323B,PM25-PRI,0.13,ON-ROAD,1999
24510,223007323T,PM25-PRI,0.08,ON-ROAD,1999
24510,223007323X,PM25-PRI,11.44,ON-ROAD,1999
24510,223007325B,PM25-PRI,0.06,ON-ROAD,1999
24510,223007325T,PM25-PRI,0.04,ON-ROAD,1999
24510,223007325X,PM25-PRI,5.43,ON-ROAD,1999
24510,223007327B,PM25-PRI,0.08,ON-ROAD,1999
24510,223007327T,PM25-PRI,0.05,ON-ROAD,1999
24510,223007327X,PM25-PRI,6.88,ON-ROAD,1999
24510,223007329B,PM25-PRI,0.07,ON-ROAD,1999
24510,223007329T,PM25-PRI,0.04,ON-ROAD,1999
24510,223007329X,PM25-PRI,5.67,ON-ROAD,1999
24510,223007331B,PM25-PRI,0.03,ON-ROAD,1999
24510,223007331T,PM25-PRI,0.02,ON-ROAD,1999
24510,223007331X,PM25-PRI,2.54,ON-ROAD,1999
24510,223007333B,PM25-PRI,0.03,ON-ROAD,1999
24510,223007333T,PM25-PRI,0.02,ON-ROAD,1999
24510,223007333X,PM25-PRI,2.37,ON-ROAD,1999
24510,223007423B,PM25-PRI,0.38,ON-ROAD,1999
24510,223007423T,PM25-PRI,0.64,ON-ROAD,1999
24510,223007423X,PM25-PRI,46.43,ON-ROAD,1999
24510,223007425B,PM25-PRI,0.18,ON-ROAD,1999
24510,223007425T,PM25-PRI,0.31,ON-ROAD,1999
24510,223007425X,PM25-PRI,22.05,ON-ROAD,1999
24510,223007427B,PM25-PRI,0.23,ON-ROAD,1999
24510,223007427T,PM25-PRI,0.39,ON-ROAD,1999
24510,223007427X,PM25-PRI,27.91,ON-ROAD,1999
24510,223007429B,PM25-PRI,0.19,ON-ROAD,1999
24510,223007429T,PM25-PRI,0.32,ON-ROAD,1999
24510,223007429X,PM25-PRI,23.03,ON-ROAD,1999
24510,223007431B,PM25-PRI,0.08,ON-ROAD,1999
24510,223007431T,PM25-PRI,0.14,ON-ROAD,1999
24510,223007431X,PM25-PRI,10.33,ON-ROAD,1999
24510,223007433B,PM25-PRI,0.08,ON-ROAD,1999
24510,223007433T,PM25-PRI,0.13,ON-ROAD,1999
24510,223007433X,PM25-PRI,9.61,ON-ROAD,1999
24510,223007523B,PM25-PRI,0.02,ON-ROAD,1999
24510,223007523T,PM25-PRI,0.01,ON-ROAD,1999
24510,223007523X,PM25-PRI,4.22,ON-ROAD,1999
24510,223007525B,PM25-PRI,0.01,ON-ROAD,1999
24510,223007525X,PM25-PRI,2,ON-ROAD,1999
24510,223007527B,PM25-PRI,0.01,ON-ROAD,1999
24510,223007527T,PM25-PRI,0.01,ON-ROAD,1999
24510,223007527X,PM25-PRI,2.53,ON-ROAD,1999
24510,223007529B,PM25-PRI,0.01,ON-ROAD,1999
24510,223007529X,PM25-PRI,2.09,ON-ROAD,1999
24510,223007531X,PM25-PRI,0.94,ON-ROAD,1999
24510,223007533X,PM25-PRI,0.87,ON-ROAD,1999
24510,2260003030,PM25-PRI,0.03,NON-ROAD,1999
24510,2260003040,PM25-PRI,0,NON-ROAD,1999
24510,2260004016,PM25-PRI,0.16,NON-ROAD,1999
24510,2260004021,PM25-PRI,2.75,NON-ROAD,1999
24510,2260004026,PM25-PRI,1.62,NON-ROAD,1999
24510,2260004031,PM25-PRI,1.73,NON-ROAD,1999
24510,2260004036,PM25-PRI,1.74,NON-ROAD,1999
24510,2260004071,PM25-PRI,0,NON-ROAD,1999
24510,2260006005,PM25-PRI,0.23,NON-ROAD,1999
24510,2260006010,PM25-PRI,1.66,NON-ROAD,1999
24510,2260006015,PM25-PRI,0,NON-ROAD,1999
24510,2265001050,PM25-PRI,0.13,NON-ROAD,1999
24510,2265003010,PM25-PRI,0.03,NON-ROAD,1999
24510,2265003020,PM25-PRI,0.1,NON-ROAD,1999
24510,2265003030,PM25-PRI,0.03,NON-ROAD,1999
24510,2265003040,PM25-PRI,0.1,NON-ROAD,1999
24510,2265003050,PM25-PRI,0,NON-ROAD,1999
24510,2265003060,PM25-PRI,0,NON-ROAD,1999
24510,2265003070,PM25-PRI,0.01,NON-ROAD,1999
24510,2265004011,PM25-PRI,0.12,NON-ROAD,1999
24510,2265004016,PM25-PRI,0.11,NON-ROAD,1999
24510,2265004026,PM25-PRI,0,NON-ROAD,1999
24510,2265004031,PM25-PRI,0.07,NON-ROAD,1999
24510,2265004036,PM25-PRI,0.03,NON-ROAD,1999
24510,2265004041,PM25-PRI,0.01,NON-ROAD,1999
24510,2265004046,PM25-PRI,0.01,NON-ROAD,1999
24510,2265004051,PM25-PRI,0.02,NON-ROAD,1999
24510,2265004056,PM25-PRI,0.11,NON-ROAD,1999
24510,2265004066,PM25-PRI,0.02,NON-ROAD,1999
24510,2265004071,PM25-PRI,0.35,NON-ROAD,1999
24510,2265004076,PM25-PRI,0.03,NON-ROAD,1999
24510,2265006005,PM25-PRI,0.71,NON-ROAD,1999
24510,2265006010,PM25-PRI,0.25,NON-ROAD,1999
24510,2265006015,PM25-PRI,0.12,NON-ROAD,1999
24510,2265006025,PM25-PRI,0.22,NON-ROAD,1999
24510,2265006030,PM25-PRI,0.43,NON-ROAD,1999
24510,2267003010,PM25-PRI,0.02,NON-ROAD,1999
24510,2267003020,PM25-PRI,1.8,NON-ROAD,1999
24510,2267003030,PM25-PRI,0.01,NON-ROAD,1999
24510,2267003040,PM25-PRI,0,NON-ROAD,1999
24510,2267003050,PM25-PRI,0,NON-ROAD,1999
24510,2267003070,PM25-PRI,0.01,NON-ROAD,1999
24510,2267004066,PM25-PRI,0,NON-ROAD,1999
24510,2267006005,PM25-PRI,0.05,NON-ROAD,1999
24510,2267006010,PM25-PRI,0.01,NON-ROAD,1999
24510,2267006015,PM25-PRI,0.02,NON-ROAD,1999
24510,2267006025,PM25-PRI,0.02,NON-ROAD,1999
24510,2267006030,PM25-PRI,0,NON-ROAD,1999
24510,2268003020,PM25-PRI,0.14,NON-ROAD,1999
24510,2268003060,PM25-PRI,0,NON-ROAD,1999
24510,2268003070,PM25-PRI,0,NON-ROAD,1999
24510,2268006005,PM25-PRI,0.02,NON-ROAD,1999
24510,2268006010,PM25-PRI,0,NON-ROAD,1999
24510,2268006015,PM25-PRI,0,NON-ROAD,1999
24510,2268006020,PM25-PRI,0.05,NON-ROAD,1999
24510,2270003010,PM25-PRI,0.99,NON-ROAD,1999
24510,2270003020,PM25-PRI,5.26,NON-ROAD,1999
24510,2270003030,PM25-PRI,2.05,NON-ROAD,1999
24510,2270003040,PM25-PRI,2.12,NON-ROAD,1999
24510,2270003050,PM25-PRI,0.22,NON-ROAD,1999
24510,2270003060,PM25-PRI,11.8,NON-ROAD,1999
24510,2270003070,PM25-PRI,2.43,NON-ROAD,1999
24510,2270004031,PM25-PRI,0,NON-ROAD,1999
24510,2270004036,PM25-PRI,0.09,NON-ROAD,1999
24510,2270004046,PM25-PRI,1.37,NON-ROAD,1999
24510,2270004056,PM25-PRI,0.18,NON-ROAD,1999
24510,2270004066,PM25-PRI,0.36,NON-ROAD,1999
24510,2270004071,PM25-PRI,0.49,NON-ROAD,1999
24510,2270004076,PM25-PRI,0,NON-ROAD,1999
24510,2270006005,PM25-PRI,7.15,NON-ROAD,1999
24510,2270006010,PM25-PRI,1.58,NON-ROAD,1999
24510,2270006015,PM25-PRI,3.67,NON-ROAD,1999
24510,2270006025,PM25-PRI,4.06,NON-ROAD,1999
24510,2270006030,PM25-PRI,0.2,NON-ROAD,1999
24510,2280002100,PM25-PRI,350.97,NON-ROAD,1999
24510,2280002200,PM25-PRI,0.8,NON-ROAD,1999
24510,2280003100,PM25-PRI,97.05,NON-ROAD,1999
24510,2280003200,PM25-PRI,0.29,NON-ROAD,1999
24510,2282005010,PM25-PRI,1.85,NON-ROAD,1999
24510,2282005015,PM25-PRI,0.91,NON-ROAD,1999
24510,2282010005,PM25-PRI,0.02,NON-ROAD,1999
24510,2282020005,PM25-PRI,0.05,NON-ROAD,1999
24510,2282020010,PM25-PRI,0,NON-ROAD,1999
24510,2285002006,PM25-PRI,4.64,NON-ROAD,1999
24510,2285002008,PM25-PRI,0.02,NON-ROAD,1999
24510,2285002009,PM25-PRI,4.16,NON-ROAD,1999
24510,2285002010,PM25-PRI,1.86,NON-ROAD,1999
24510,2285002015,PM25-PRI,1.22,NON-ROAD,1999
24510,2285004015,PM25-PRI,0,NON-ROAD,1999
24510,2285006015,PM25-PRI,0,NON-ROAD,1999
24510,2294000000,PM25-PRI,1043.61,NONPOINT,1999
24510,2311010000,PM25-PRI,2.09,NONPOINT,1999
24510,2311020000,PM25-PRI,395.92,NONPOINT,1999
24510,2311030000,PM25-PRI,6.24,NONPOINT,1999
24510,2325000000,PM25-PRI,47.77,NONPOINT,1999
24510,2610000500,PM25-PRI,36.338,NONPOINT,1999
24510,2810001000,PM25-PRI,0,NONPOINT,1999
24510,2810005000,PM25-PRI,0,NONPOINT,1999
24510,2810015000,PM25-PRI,0,NONPOINT,1999
24510,2810030000,PM25-PRI,14.906,NONPOINT,1999
6037,10100501,PM25-PRI,0.031,POINT,1999
6037,10100601,PM25-PRI,382.523,POINT,1999
6037,10100602,PM25-PRI,3.532,POINT,1999
6037,10100701,PM25-PRI,4.289,POINT,1999
6037,10101202,PM25-PRI,1.139,POINT,1999
6037,10200501,PM25-PRI,0.11,POINT,1999
6037,10200601,PM25-PRI,48.96,POINT,1999
6037,10200602,PM25-PRI,149.68,POINT,1999
6037,10200603,PM25-PRI,98.64,POINT,1999
6037,10200701,PM25-PRI,10.593,POINT,1999
6037,10201002,PM25-PRI,1.721,POINT,1999
6037,10300501,PM25-PRI,0.116,POINT,1999
6037,10300601,PM25-PRI,11.08,POINT,1999
6037,10300602,PM25-PRI,45.4,POINT,1999
6037,10300603,PM25-PRI,57.16,POINT,1999
6037,10300701,PM25-PRI,3.534,POINT,1999
6037,10300799,PM25-PRI,21.594,POINT,1999
6037,20100101,PM25-PRI,0.022,POINT,1999
6037,20100102,PM25-PRI,70.017,POINT,1999
6037,20100201,PM25-PRI,68.172,POINT,1999
6037,20100202,PM25-PRI,26.012,POINT,1999
6037,20100801,PM25-PRI,25.809,POINT,1999
6037,20100802,PM25-PRI,0.55,POINT,1999
6037,20100901,PM25-PRI,0.01,POINT,1999
6037,20200101,PM25-PRI,0.068,POINT,1999
6037,20200102,PM25-PRI,52.906,POINT,1999
6037,20200201,PM25-PRI,18.606,POINT,1999
6037,20200202,PM25-PRI,0.03,POINT,1999
6037,20200203,PM25-PRI,139.933,POINT,1999
6037,20200204,PM25-PRI,0.026,POINT,1999
6037,20200301,PM25-PRI,1.256,POINT,1999
6037,20200701,PM25-PRI,45.817,POINT,1999
6037,20201001,PM25-PRI,2.067,POINT,1999
6037,20300101,PM25-PRI,29.52,POINT,1999
6037,20300102,PM25-PRI,0.125,POINT,1999
6037,20300201,PM25-PRI,0.426,POINT,1999
6037,20300202,PM25-PRI,23.978,POINT,1999
6037,20300301,PM25-PRI,0.838,POINT,1999
6037,20300702,PM25-PRI,2.54,POINT,1999
6037,20301001,PM25-PRI,0.128,POINT,1999
6037,20400301,PM25-PRI,0.086,POINT,1999
6037,20400401,PM25-PRI,0.071,POINT,1999
6037,20400402,PM25-PRI,1.703,POINT,1999
6037,30101401,PM25-PRI,17.503,POINT,1999
6037,30101402,PM25-PRI,0.021,POINT,1999
6037,30101460,PM25-PRI,0.167,POINT,1999
6037,30101892,PM25-PRI,7.132,POINT,1999
6037,30102201,PM25-PRI,10.311,POINT,1999
6037,30103399,PM25-PRI,0.305,POINT,1999
6037,30183001,PM25-PRI,9.793,POINT,1999
6037,30188801,PM25-PRI,1.1,POINT,1999
6037,30190003,PM25-PRI,105.44,POINT,1999
6037,30190013,PM25-PRI,0.192,POINT,1999
6037,30190099,PM25-PRI,0.026,POINT,1999
6037,30200506,PM25-PRI,11.701,POINT,1999
6037,30201206,PM25-PRI,0.016,POINT,1999
6037,30201311,PM25-PRI,65.775,POINT,1999
6037,30288801,PM25-PRI,3.523,POINT,1999
6037,30290003,PM25-PRI,4.756,POINT,1999
6037,30300901,PM25-PRI,41.231,POINT,1999
6037,30388802,PM25-PRI,2.105,POINT,1999
6037,30390003,PM25-PRI,2.135,POINT,1999
6037,30390013,PM25-PRI,0.923,POINT,1999
6037,30390023,PM25-PRI,0.607,POINT,1999
6037,30400401,PM25-PRI,2.009,POINT,1999
6037,30400402,PM25-PRI,101.526,POINT,1999
6037,30400408,PM25-PRI,153.324,POINT,1999
6037,30400411,PM25-PRI,58.14,POINT,1999
6037,30400505,PM25-PRI,0.434,POINT,1999
6037,30400521,PM25-PRI,1.141,POINT,1999
6037,30404001,PM25-PRI,0.668,POINT,1999
6037,30488802,PM25-PRI,34.518,POINT,1999
6037,30490001,PM25-PRI,0.033,POINT,1999
6037,30490003,PM25-PRI,2.933,POINT,1999
6037,30490013,PM25-PRI,4.263,POINT,1999
6037,30490033,PM25-PRI,71.168,POINT,1999
6037,30500101,PM25-PRI,38.713,POINT,1999
6037,30500201,PM25-PRI,1.321,POINT,1999
6037,30500204,PM25-PRI,0.062,POINT,1999
6037,30500206,PM25-PRI,2.648,POINT,1999
6037,30500608,PM25-PRI,1.312,POINT,1999
6037,30500612,PM25-PRI,0.116,POINT,1999
6037,30500613,PM25-PRI,2.951,POINT,1999
6037,30500619,PM25-PRI,3.134,POINT,1999
6037,30501106,PM25-PRI,2.23,POINT,1999
6037,30501204,PM25-PRI,0.162,POINT,1999
6037,30501402,PM25-PRI,96.957,POINT,1999
6037,30501404,PM25-PRI,5.494,POINT,1999
6037,30501505,PM25-PRI,0.437,POINT,1999
6037,30501520,PM25-PRI,1.716,POINT,1999
6037,30502001,PM25-PRI,0.8,POINT,1999
6037,30502504,PM25-PRI,0.362,POINT,1999
6037,30502508,PM25-PRI,0.336,POINT,1999
6037,30502510,PM25-PRI,0.43,POINT,1999
6037,30509202,PM25-PRI,2.684,POINT,1999
6037,30509204,PM25-PRI,6.296,POINT,1999
6037,30510202,PM25-PRI,5.014,POINT,1999
6037,30510708,PM25-PRI,2.075,POINT,1999
6037,30515001,PM25-PRI,2.186,POINT,1999
6037,30515002,PM25-PRI,19.585,POINT,1999
6037,30590001,PM25-PRI,0.148,POINT,1999
6037,30590003,PM25-PRI,3.284,POINT,1999
6037,30590013,PM25-PRI,7.969,POINT,1999
6037,30600104,PM25-PRI,383.873,POINT,1999
6037,30600105,PM25-PRI,171.423,POINT,1999
6037,30600106,PM25-PRI,459.76,POINT,1999
6037,30600201,PM25-PRI,25.416,POINT,1999
6037,30600202,PM25-PRI,135.97,POINT,1999
6037,30600401,PM25-PRI,21.121,POINT,1999
6037,30600903,PM25-PRI,0.06,POINT,1999
6037,30600904,PM25-PRI,0.015,POINT,1999
6037,30602201,PM25-PRI,0.444,POINT,1999
6037,30609903,PM25-PRI,0.133,POINT,1999
6037,30700403,PM25-PRI,0.407,POINT,1999
6037,30700801,PM25-PRI,1.554,POINT,1999
6037,30701201,PM25-PRI,0.36,POINT,1999
6037,30701399,PM25-PRI,0.037,POINT,1999
6037,30702099,PM25-PRI,0.245,POINT,1999
6037,30788801,PM25-PRI,1.035,POINT,1999
6037,30790003,PM25-PRI,3.015,POINT,1999
6037,30800701,PM25-PRI,0.396,POINT,1999
6037,30800799,PM25-PRI,2.687,POINT,1999
6037,30800801,PM25-PRI,3.544,POINT,1999
6037,30800802,PM25-PRI,1.416,POINT,1999
6037,30805010,PM25-PRI,0.009,POINT,1999
6037,30805015,PM25-PRI,0.09,POINT,1999
6037,30805016,PM25-PRI,0.054,POINT,1999
6037,30805099,PM25-PRI,0.018,POINT,1999
6037,30890003,PM25-PRI,1.235,POINT,1999
6037,30900199,PM25-PRI,0.212,POINT,1999
6037,30900201,PM25-PRI,94.539,POINT,1999
6037,30901001,PM25-PRI,9.377,POINT,1999
6037,30901002,PM25-PRI,0.319,POINT,1999
6037,30901003,PM25-PRI,0.442,POINT,1999
6037,30901104,PM25-PRI,0.025,POINT,1999
6037,30903005,PM25-PRI,0.834,POINT,1999
6037,30906001,PM25-PRI,0.017,POINT,1999
6037,30906002,PM25-PRI,0.211,POINT,1999
6037,30906006,PM25-PRI,0.472,POINT,1999
6037,30906099,PM25-PRI,1.012,POINT,1999
6037,30990003,PM25-PRI,0.134,POINT,1999
6037,30990013,PM25-PRI,0.015,POINT,1999
6037,31000199,PM25-PRI,7.872,POINT,1999
6037,31000404,PM25-PRI,3.691,POINT,1999
6037,31100102,PM25-PRI,0.072,POINT,1999
6037,31390003,PM25-PRI,0.06,POINT,1999
6037,31499999,PM25-PRI,1.175,POINT,1999
6037,33000199,PM25-PRI,0.198,POINT,1999
6037,33000305,PM25-PRI,0.138,POINT,1999
6037,33000399,PM25-PRI,0.11,POINT,1999
6037,33088801,PM25-PRI,4.26,POINT,1999
6037,39000602,PM25-PRI,3.254,POINT,1999
6037,39000603,PM25-PRI,0.027,POINT,1999
6037,39000689,PM25-PRI,8.972,POINT,1999
6037,39000699,PM25-PRI,1.082,POINT,1999
6037,39001089,PM25-PRI,0.23,POINT,1999
6037,39990003,PM25-PRI,59.226,POINT,1999
6037,39990013,PM25-PRI,0.726,POINT,1999
6037,39990023,PM25-PRI,0.302,POINT,1999
6037,39999993,PM25-PRI,14.22,POINT,1999
